IB1,IB2,IB3,IB4,IB5,IH1,IH2,IH3,IH4,lang,education_level,sex,country_origin,country,age,continent
5,3,3,4,5,6,2,6,6,1,Bachelor's degree,Male,13.0,AUS,26.0,Oceania
2,5,5,1,2,2,2,4,6,1,High school,Female,227.0,AUS,20.0,Oceania
7,7,6,5,7,6,6,7,7,1,Doctoral degree,Female,203.0,AUS,30.0,Oceania
3,5,3,5,5,3,5,4,3,1,High school,Female,228.0,USA,18.0,North America
4,4,4,4,4,4,4,4,4,1,Bachelor's degree,Male,203.0,AUS,29.0,Oceania
6,2,3,4,4,3,6,5,3,1,Bachelor's degree,I wish not to answer,100.0,AUS,23.0,Oceania
2,2,2,2,5,6,4,4,4,1,Bachelor's degree,Female,13.0,AUS,23.0,Oceania
1,3,2,3,2,5,2,7,4,1,Bachelor's degree,Male,84.0,USA,19.0,North America
2,5,6,4,4,4,5,6,5,1,Bachelor's degree,Female,13.0,AUS,20.0,Oceania
2,3,4,3,1,4,4,3,3,1,Bachelor's degree,Female,13.0,AUS,20.0,Oceania
6,5,2,2,5,2,3,5,5,1,Bachelor's degree,Female,13.0,AUS,21.0,Oceania
7,6,3,6,5,5,2,4,5,1,High school,Female,13.0,AUS,19.0,Oceania
4,4,6,2,4,2,4,4,2,1,High school,Female,228.0,USA,20.0,North America
4,6,6,4,5,2,5,3,3,1,High school,Female,114.0,AUS,19.0,Oceania
2,4,5,4,5,3,4,1,5,1,Bachelor's degree,Female,13.0,AUS,23.0,Oceania
5,6,7,2,5,5,2,5,4,1,Bachelor's degree,Female,203.0,AUS,33.0,Oceania
7,2,6,1,7,3,5,5,4,1,Doctoral degree,Male,64.0,AUS,29.0,Oceania
5,6,5,5,5,6,2,3,5,1,High school,Male,13.0,AUS,21.0,Oceania
4,3,3,4,4,3,4,6,4,1,High school,Female,228.0,USA,20.0,North America
4,6,5,6,4,4,4,3,4,1,High school,Female,13.0,AUS,22.0,Oceania
6,1,1,2,7,2,1,2,1,1,Bachelor's degree,Female,228.0,USA,21.0,North America
5,2,1,2,2,2,2,5,2,1,High school,Female,13.0,AUS,18.0,Oceania
6,6,5,5,4,2,5,2,2,1,Master's degree,Male,100.0,AUS,46.0,Oceania
2,2,2,6,2,2,2,2,2,1,High school,Female,38.0,NZL,70.0,Oceania
6,3,5,2,3,4,2,2,4,1,High school,Male,44.0,USA,22.0,North America
5,5,2,5,3,1,5,2,2,1,Bachelor's degree,Female,156.0,NZL,41.0,Oceania
3,2,4,3,5,3,3,2,4,1,Master's degree,Male,131.0,NZL,26.0,Oceania
5,7,3,4,4,6,5,6,5,1,Bachelor's degree,Male,156.0,NZL,27.0,Oceania
1,2,2,1,4,2,4,4,6,1,Master's degree,Female,18.0,AUS,38.0,Oceania
4,3,4,5,4,5,4,2,2,1,High school,Female,13.0,AUS,20.0,Oceania
5,5,5,5,6,3,2,2,3,1,High school,Male,13.0,AUS,18.0,Oceania
5,6,5,2,2,6,6,3,5,1,Bachelor's degree,Male,227.0,AUS,27.0,Oceania
6,3,3,5,7,5,3,4,5,1,High school,Female,228.0,USA,18.0,North America
5,4,4,4,4,7,1,2,1,1,Bachelor's degree,Female,100.0,USA,18.0,North America
4,7,7,3,7,3,2,1,3,1,High school,Female,13.0,AUS,20.0,Oceania
5,6,5,4,5,5,5,5,3,1,Bachelor's degree,Female,13.0,AUS,19.0,Oceania
3,6,5,3,5,6,5,6,5,1,High school,Female,13.0,AUS,21.0,Oceania
2,3,3,2,6,3,5,5,5,1,Bachelor's degree,Male,13.0,AUS,29.0,Oceania
6,5,7,5,5,4,4,3,5,1,High school,Male,172.0,AUS,21.0,Oceania
3,2,2,6,6,1,2,3,1,1,High school,Male,13.0,AUS,23.0,Oceania
5,4,4,4,4,1,4,4,2,1,High school,Female,105.0,USA,30.0,North America
5,6,6,5,4,5,2,5,4,1,High school,Male,228.0,USA,20.0,North America
2,5,5,5,5,5,6,5,6,1,High school,Female,13.0,AUS,45.0,Oceania
3,3,4,2,5,6,2,2,4,1,Master's degree,Female,13.0,AUS,33.0,Oceania
2,5,7,2,7,4,4,6,6,1,Bachelor's degree,Male,228.0,USA,23.0,North America
3,4,4,4,5,4,2,2,4,1,High school,Male,228.0,USA,21.0,North America
5,2,6,5,6,3,3,5,3,1,High school,Female,108.0,USA,20.0,North America
6,4,4,5,5,3,3,7,5,3,Bachelor's degree,Male,1.0,ITA,28.0,Europe
6,7,5,6,5,2,5,3,6,1,High school,Female,13.0,AUS,40.0,Oceania
5,4,4,2,3,3,2,2,3,1,High school,Female,13.0,AUS,20.0,Oceania
6,4,3,4,1,4,5,5,2,1,Bachelor's degree,Male,227.0,GBR,41.0,Europe
6,6,7,6,3,6,6,6,6,3,Master's degree,Female,1.0,ITA,24.0,Europe
3,5,6,1,4,1,1,1,1,3,Master's degree,Male,1.0,ITA,27.0,Europe
2,3,2,3,1,2,5,5,4,1,Bachelor's degree,Female,156.0,AUS,23.0,Oceania
2,1,2,2,6,3,5,1,6,3,High school,Male,1.0,ITA,63.0,Europe
5,2,3,5,2,3,4,3,5,1,Bachelor's degree,Female,13.0,AUS,24.0,Oceania
7,4,5,6,6,2,3,2,3,3,Bachelor's degree,Male,1.0,ITA,29.0,Europe
